TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Sequence
TR67501,85,2022-01-08,P4,12000,3,36000,13,1
TR21798,83,2022-02-10,P9,10000,5,50000,11,2
TR11369,328,2022-01-01,P3,7500,4,30000,12,3
TR70157,415,2022-01-08,P8,16000,2,32000,4,4
TR84962,55,2022-01-08,P3,7500,5,37500,7,5
TR89167,69,2022-01-08,P1,8800,5,44000,10,6
TR90471,162,2022-01-08,P3,7500,3,22500,3,7
TR16356,165,2022-01-01,P9,10000,7,70000,1,8
TR1984,183,2022-01-01,P1,8800,4,35200,4,9
TR14091,307,2022-01-09,P1,8800,5,44000,11,10
TR28270,140,2022-01-09,P2,3200,7,22400,3,11
TR48974,170,2022-01-09,P10,15000,1,15000,9,12
TR52493,354,2022-01-09,P8,16000,1,16000,11,13
TR52613,135,2022-01-09,P5,4200,3,12600,9,14
TR53447,137,2022-01-09,P2,3200,4,12800,5,15
TR5513,62,2022-01-09,P4,12000,4,48000,2,16
TR76965,241,2022-01-09,P1,8800,8,70400,3,17
TR35256,160,2022-01-01,P1,8800,7,61600,4,18
TR41231,386,2022-01-01,P9,10000,1,10000,4,19
TR32721,102,2022-02-10,P6,18000,3,54000,2,20
TR33187,300,2022-02-10,P4,12000,1,12000,4,21
TR51675,283,2022-01-01,P10,15000,1,15000,5,22
TR45401,31,2022-02-10,P7,9400,4,37600,12,23
TR49791,287,2022-02-10,P1,8800,8,70400,7,24
TR54287,51,2022-01-01,P8,16000,2,32000,2,25
TR67455,49,2022-01-01,P5,4200,3,12600,13,26
TR80326,269,2022-01-09,P8,16000,1,16000,2,27
TR858,340,2022-01-09,P8,16000,2,32000,14,28
TR8878,415,2022-01-09,P5,4200,3,12600,9,29
TR60921,108,2022-02-10,P8,16000,1,16000,5,30
TR89449,178,2022-01-09,P5,4200,2,8400,11,31
TR72115,97,2022-02-10,P10,15000,4,60000,4,32
TR73041,222,2022-01-01,P9,10000,6,60000,4,33
TR91332,385,2022-01-09,P9,10000,1,10000,10,34
TR80958,395,2022-02-10,P3,7500,5,37500,6,35
TR7596,270,2022-01-01,P7,9400,2,18800,14,36
TR76340,287,2022-01-01,P4,12000,4,48000,12,37
TR91669,241,2022-01-09,P5,4200,5,21000,2,38
TR97336,233,2022-01-01,P7,9400,2,18800,12,39
TR3291,13,2022-01-10,P4,12000,5,60000,14,40
TR8134,5,2022-02-10,P5,4200,5,21000,14,41
TR99839,123,2022-01-01,P2,3200,6,19200,1,42
