,TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Sequence,Age,Gender,MaritalStatus,Income,ProductName,StoreName,GroupStore,Type,Latitude,Longitude
0,TR67501,85,2022-01-08,P4,12000,3,36000,13,1,59,1,Married,7.89,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
1,TR578,55,2022-07-15,P4,12000,1,12000,13,2898,34,1,Married,8.44,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
2,TR10955,222,2022-05-23,P4,12000,1,12000,13,2025,45,0,Married,15.03,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
3,TR70238,23,2022-04-14,P4,12000,2,24000,13,1178,57,1,Married,12.56,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
4,TR3631,168,2022-07-12,P4,12000,3,36000,13,2817,27,0,Married,4.88,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
5,TR34370,18,2022-10-07,P4,12000,1,12000,13,3922,47,0,Married,13.6,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
6,TR27722,218,2022-10-16,P4,12000,1,12000,13,3701,29,0,Married,3.52,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
7,TR3913,7,2022-04-11,P4,12000,3,36000,13,1538,31,0,Married,4.57,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
8,TR20477,21,2022-09-24,P4,12000,2,24000,13,3720,52,0,Married,12.72,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
9,TR60242,304,2022-01-05,P4,12000,1,12000,13,166,34,0,Single,8.55,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
10,TR13940,156,2022-12-26,P4,12000,3,36000,13,4710,44,0,Married,3.87,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
11,TR71792,149,2022-09-26,P4,12000,5,60000,13,3336,61,1,Married,3.96,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
12,TR54623,131,2022-04-29,P4,12000,3,36000,13,1697,25,0,Single,7.12,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
13,TR29181,282,2022-11-01,P4,12000,4,48000,13,3868,55,0,Married,11.38,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
14,TR69836,121,2022-03-02,P4,12000,2,24000,13,339,26,0,Single,2.93,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
15,TR65558,95,2022-06-29,P4,12000,2,24000,13,2226,52,0,Married,17.42,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
16,TR56320,199,2022-03-09,P4,12000,3,36000,13,659,41,0,Married,7.9,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
17,TR1186,423,2022-01-25,P4,12000,5,60000,13,601,22,0,Married,3.55,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
18,TR25602,126,2022-12-11,P4,12000,2,24000,13,4398,56,0,Married,15.75,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
19,TR16977,169,2022-10-31,P4,12000,1,12000,13,3815,34,0,Married,3.97,Potato Chip,Buana,Buana,General Trade,-1.26916,116.825
